state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
NH,117,area_code_510,yes,no,0,54.2,100,9.21,303.2,84,25.77,171.8,84,7.73,8.6,2,2.32,1,yes
WA,97,area_code_408,no,no,0,276.1,82,46.94,201.1,106,17.09,231.3,73,10.41,8.9,4,2.4,0,yes
SC,77,area_code_510,no,yes,28,135.9,117,23.1,244.5,102,20.78,207.5,74,9.34,11.5,3,3.11,4,yes
NC,80,area_code_415,yes,no,0,189.1,122,32.15,223.2,92,18.97,269.0,116,12.11,13.9,3,3.75,2,yes
PA,119,area_code_408,no,no,0,287.1,115,48.81,159.3,99,13.54,216.8,86,9.76,13.9,1,3.75,2,yes
NC,162,area_code_408,no,yes,26,179.7,144,30.55,218.1,129,18.54,212.3,105,9.55,9.3,8,2.51,1,yes
MO,85,area_code_510,no,no,0,165.8,96,28.19,190.0,141,16.15,144.0,116,6.48,10.9,3,2.94,5,yes
NM,107,area_code_415,no,no,0,222.3,101,37.79,286.0,111,24.31,249.4,117,11.22,12.1,4,3.27,1,yes
MA,119,area_code_408,yes,yes,16,147.2,103,25.02,160.1,96,13.61,184.0,120,8.28,7.7,2,2.08,0,yes
OH,133,area_code_408,yes,no,0,254.7,103,43.3,252.2,80,21.44,178.1,103,8.01,8.0,3,2.16,0,yes
MI,146,area_code_408,no,no,0,149.3,83,25.38,187.1,130,15.9,149.8,100,6.74,7.9,4,2.13,7,yes
TX,119,area_code_510,no,no,0,81.9,75,13.92,253.8,114,21.57,213.1,125,9.59,8.9,1,2.4,2,yes
MS,101,area_code_408,no,no,0,239.0,156,40.63,273.0,106,23.21,278.2,93,12.52,13.5,8,3.65,1,yes
CT,56,area_code_415,no,no,0,162.3,99,27.59,149.1,78,12.67,255.5,115,11.5,14.8,1,4.0,4,yes
NE,76,area_code_415,no,no,0,272.7,97,46.36,236.4,95,20.09,235.5,105,10.6,7.7,2,2.08,0,yes
OK,105,area_code_510,yes,yes,28,156.1,89,26.54,107.1,114,9.1,167.7,95,7.55,14.7,3,3.97,0,yes
SD,91,area_code_415,no,no,0,153.0,123,26.01,141.1,127,11.99,171.5,76,7.72,10.3,15,2.78,1,yes
WI,147,area_code_415,yes,no,0,225.2,111,38.28,184.9,98,15.72,143.2,146,6.44,9.9,1,2.67,0,yes
IN,68,area_code_510,no,no,0,249.9,127,42.48,254.5,118,21.63,273.2,98,12.29,8.9,6,2.4,2,yes
VT,159,area_code_415,no,no,0,275.8,103,46.89,189.5,108,16.11,223.9,93,10.08,7.4,5,2.0,2,yes
NJ,93,area_code_510,yes,yes,38,225.7,117,38.37,119.6,122,10.17,193.2,125,8.69,14.0,7,3.78,1,yes
WA,174,area_code_408,no,yes,33,167.8,91,28.53,205.3,91,17.45,130.0,132,5.85,14.5,4,3.92,4,yes
NH,103,area_code_408,no,no,0,150.6,125,25.6,169.1,126,14.37,221.2,104,9.95,10.4,8,2.81,8,yes
WA,100,area_code_408,no,no,0,70.8,94,12.04,215.6,102,18.33,230.8,125,10.39,9.5,1,2.57,6,yes
PA,119,area_code_408,no,no,0,260.1,101,44.22,256.5,68,21.8,229.1,89,10.31,10.0,2,2.7,1,yes
HI,105,area_code_415,no,no,0,281.3,124,47.82,301.5,96,25.63,202.8,109,9.13,8.7,3,2.35,0,yes
MD,108,area_code_415,yes,yes,42,130.1,90,22.12,167.0,128,14.2,244.7,80,11.01,13.6,5,3.67,3,yes
AZ,113,area_code_510,no,no,0,128.7,100,21.88,227.1,67,19.3,178.1,135,8.01,9.2,4,2.48,2,yes
TX,52,area_code_415,no,no,0,155.0,110,26.35,133.4,104,11.34,176.1,84,7.92,7.0,4,1.89,4,yes
ND,71,area_code_510,no,no,0,238.0,82,40.46,278.5,94,23.67,193.1,134,8.69,11.8,10,3.19,0,yes
NY,139,area_code_510,no,no,0,236.6,109,40.22,169.9,107,14.44,212.3,118,9.55,11.1,2,3.0,1,yes
KY,113,area_code_408,no,yes,20,157.8,83,26.83,161.5,56,13.73,271.5,100,12.22,8.7,2,2.35,5,yes
SC,49,area_code_415,yes,no,0,237.8,92,40.43,208.9,119,17.76,167.8,86,7.55,15.6,6,4.21,2,yes
RI,106,area_code_510,yes,no,0,204.0,84,34.68,168.5,61,14.32,164.0,102,7.38,13.3,3,3.59,3,yes
TN,112,area_code_415,no,no,0,272.5,119,46.33,226.1,94,19.22,159.1,94,7.16,16.4,5,4.43,3,yes
TX,73,area_code_408,no,no,0,286.4,109,48.69,178.2,67,15.15,214.2,152,9.64,10.7,14,2.89,1,yes
SD,93,area_code_510,no,no,0,328.1,106,55.78,151.7,89,12.89,303.5,114,13.66,8.7,3,2.35,1,yes
OK,154,area_code_415,yes,no,0,145.9,69,24.8,208.2,141,17.7,180.9,106,8.14,14.4,10,3.89,0,yes
NJ,162,area_code_408,no,no,0,217.6,87,36.99,279.0,71,23.72,250.7,65,11.28,10.4,4,2.81,2,yes
TX,136,area_code_408,no,no,0,269.8,106,45.87,228.8,101,19.45,257.5,106,11.59,10.1,8,2.73,1,yes
KS,94,area_code_408,no,no,0,269.2,104,45.76,193.8,144,16.47,257.6,61,11.59,8.9,2,2.4,3,yes
OR,53,area_code_408,no,no,0,261.2,119,44.4,250.8,105,21.32,176.0,112,7.92,9.8,2,2.65,0,yes
NH,95,area_code_408,yes,no,0,228.9,134,38.91,255.7,71,21.73,208.0,120,9.36,10.1,2,2.73,4,yes
MA,71,area_code_510,no,no,0,290.4,108,49.37,253.9,92,21.58,263.3,126,11.85,10.1,5,2.73,3,yes
NH,74,area_code_408,no,no,0,298.1,112,50.68,201.3,100,17.11,214.7,88,9.66,9.7,4,2.62,2,yes
GA,128,area_code_408,yes,yes,18,222.1,89,37.76,160.6,109,13.65,218.8,102,9.85,13.6,2,3.67,0,yes
MN,123,area_code_408,no,no,0,236.2,135,40.15,273.9,88,23.28,227.0,77,10.22,10.1,6,2.73,2,yes
LA,150,area_code_415,no,no,0,136.6,112,23.22,209.4,81,17.8,161.1,78,7.25,12.2,2,3.29,4,yes
NJ,60,area_code_408,no,no,0,289.8,101,49.27,255.6,115,21.73,242.8,76,10.93,11.7,4,3.16,2,yes
TX,37,area_code_510,yes,no,0,172.9,119,29.39,183.0,86,15.56,226.4,100,10.19,9.8,1,2.65,0,yes
CA,111,area_code_408,no,no,0,249.8,109,42.47,242.4,106,20.6,231.8,78,10.43,11.6,4,3.13,0,yes
VA,92,area_code_510,yes,no,0,252.3,120,42.89,207.0,112,17.6,284.6,95,12.81,12.0,5,3.24,3,yes
MT,100,area_code_415,no,no,0,96.5,86,16.41,210.2,133,17.87,146.4,106,6.59,12.5,3,3.38,1,yes
NE,126,area_code_415,no,no,0,249.8,96,42.47,261.9,92,22.26,166.8,108,7.51,12.7,4,3.43,3,yes
SC,212,area_code_415,no,no,0,226.0,127,38.42,304.6,83,25.89,181.2,132,8.15,12.6,4,3.4,2,yes
AL,172,area_code_408,no,no,0,270.0,102,45.9,256.6,111,21.81,168.5,104,7.58,12.0,5,3.24,2,yes
FL,166,area_code_510,yes,no,0,47.7,89,8.11,264.4,95,22.47,235.2,97,10.58,13.2,3,3.56,0,yes
NV,94,area_code_408,yes,no,0,89.5,94,15.22,339.9,106,28.89,172.9,76,7.78,7.9,1,2.13,1,yes
NC,115,area_code_510,yes,no,0,251.3,69,42.72,252.5,96,21.46,118.3,112,5.32,9.9,1,2.67,3,yes
NM,41,area_code_415,no,no,0,232.1,74,39.46,327.1,88,27.8,226.5,119,10.19,10.9,2,2.94,3,yes
WA,167,area_code_415,no,no,0,169.2,124,28.76,173.3,108,14.73,216.5,64,9.74,12.4,4,3.35,4,yes
PA,97,area_code_510,yes,no,0,145.0,103,24.65,294.3,93,25.02,239.8,120,10.79,11.0,2,2.97,4,yes
UT,71,area_code_415,no,no,0,278.9,110,47.41,190.2,67,16.17,255.2,84,11.48,11.7,7,3.16,0,yes
TX,98,area_code_415,no,no,0,217.2,121,36.92,303.4,73,25.79,197.1,71,8.87,12.4,2,3.35,0,yes
MI,116,area_code_408,no,no,0,133.3,94,22.66,247.8,126,21.06,219.0,78,9.86,11.3,5,3.05,5,yes
NV,88,area_code_415,no,no,0,166.7,61,28.34,179.3,88,15.24,242.7,131,10.92,6.8,7,1.84,4,yes
NE,61,area_code_408,no,no,0,267.1,104,45.41,180.4,131,15.33,230.6,106,10.38,17.3,4,4.67,1,yes
TN,80,area_code_415,yes,no,0,276.5,122,47.01,195.6,79,16.63,210.3,78,9.46,7.2,3,1.94,1,yes
MS,29,area_code_510,no,no,0,313.2,103,53.24,216.3,151,18.39,218.4,106,9.83,12.8,4,3.46,2,yes
AR,98,area_code_415,no,no,0,227.1,116,38.61,120.5,103,10.24,117.0,102,5.27,4.7,4,1.27,5,yes
NV,113,area_code_510,no,no,0,245.3,108,41.7,259.9,140,22.09,204.3,115,9.19,10.7,2,2.89,3,yes
LA,124,area_code_510,no,no,0,143.3,120,24.36,230.7,111,19.61,214.3,91,9.64,7.8,2,2.11,4,yes
UT,110,area_code_415,no,no,0,271.1,108,46.09,237.0,122,20.15,239.9,122,10.8,9.8,5,2.65,2,yes
NY,82,area_code_415,no,no,0,167.1,77,28.41,131.8,79,11.2,187.4,98,8.43,9.4,1,2.54,6,yes
MN,124,area_code_510,yes,no,0,157.8,71,26.83,203.2,114,17.27,168.7,82,7.59,10.0,2,2.7,3,yes
TN,120,area_code_408,yes,no,0,179.9,72,30.58,170.0,98,14.45,190.6,89,8.58,13.8,2,3.73,1,yes
IL,68,area_code_415,yes,yes,29,195.5,113,33.24,171.6,96,14.59,204.0,85,9.18,13.5,9,3.65,1,yes
MT,102,area_code_408,no,no,0,273.2,85,46.44,211.1,82,17.94,203.7,129,9.17,13.1,7,3.54,2,yes
FL,105,area_code_415,no,no,0,273.8,97,46.55,289.7,106,24.62,269.1,126,12.11,5.8,3,1.57,2,yes
NV,42,area_code_415,no,no,0,303.9,106,51.66,232.2,54,19.74,147.1,76,6.62,5.8,3,1.57,1,yes
NJ,53,area_code_408,no,no,0,228.6,117,38.86,132.8,123,11.29,227.2,124,10.22,10.1,2,2.73,9,yes
CT,120,area_code_408,yes,no,0,202.0,123,34.34,184.3,78,15.67,176.0,89,7.92,7.4,2,2.0,2,yes
MI,108,area_code_408,no,yes,32,209.5,108,35.62,109.6,64,9.32,189.7,145,8.54,9.1,6,2.46,6,yes
NY,126,area_code_415,yes,no,0,239.7,87,40.75,281.7,92,23.94,183.5,113,8.26,11.4,1,3.08,1,yes
NY,77,area_code_415,no,yes,33,143.0,101,24.31,212.2,102,18.04,104.9,120,4.72,15.3,4,4.13,5,yes
ID,92,area_code_415,no,yes,29,201.3,130,34.22,203.7,115,17.31,129.9,113,5.85,6.4,6,1.73,1,yes
TX,139,area_code_510,yes,yes,31,203.5,82,34.6,200.3,72,17.03,214.0,112,9.63,13.4,6,3.62,1,yes
WI,89,area_code_415,no,no,0,326.3,112,55.47,165.1,110,14.03,162.9,97,7.33,7.5,1,2.03,1,yes
DC,114,area_code_415,no,no,0,147.1,119,25.01,161.0,111,13.69,275.9,106,12.42,9.0,3,2.43,5,yes
CO,132,area_code_415,no,no,0,197.8,66,33.63,133.9,119,11.38,177.3,94,7.98,10.9,3,2.94,4,yes
MN,40,area_code_510,no,no,0,81.7,123,13.89,210.2,108,17.87,212.0,64,9.54,11.3,3,3.05,6,yes
PA,75,area_code_510,no,no,0,109.0,88,18.53,259.3,120,22.04,182.1,119,8.19,13.3,3,3.59,4,yes
CA,105,area_code_415,no,yes,31,109.6,108,18.63,249.3,119,21.19,321.2,101,14.45,8.3,4,2.24,4,yes
IN,129,area_code_415,no,no,0,137.8,120,23.43,225.8,110,19.19,145.2,95,6.53,10.2,6,2.75,1,yes
RI,143,area_code_408,no,no,0,167.8,72,28.53,211.0,99,17.94,153.5,109,6.91,10.5,6,2.84,4,yes
KY,21,area_code_415,no,no,0,92.6,95,15.74,161.9,70,13.76,285.0,78,12.83,11.3,3,3.05,5,yes
MD,111,area_code_510,no,no,0,123.1,88,20.93,213.9,84,18.18,184.9,88,8.32,12.0,2,3.24,5,yes
NJ,57,area_code_510,yes,no,0,115.0,65,19.55,122.3,96,10.4,245.0,75,11.03,6.4,1,1.73,0,yes
CO,92,area_code_415,no,no,0,184.7,60,31.4,262.0,73,22.27,239.5,120,10.78,12.3,6,3.32,2,yes
RI,125,area_code_408,no,no,0,113.0,108,19.21,169.2,107,14.38,156.6,61,7.05,9.2,5,2.48,2,yes
CT,119,area_code_408,no,no,0,294.2,100,50.01,232.5,53,19.76,195.0,64,8.78,9.0,1,2.43,0,yes
OR,138,area_code_415,yes,yes,28,211.2,117,35.9,312.5,98,26.56,178.0,118,8.01,10.7,2,2.89,3,yes
SC,19,area_code_510,no,no,0,259.4,116,44.1,269.7,109,22.92,175.3,130,7.89,9.5,3,2.57,1,yes
KY,58,area_code_415,no,no,0,247.2,116,42.02,303.7,103,25.81,105.4,94,4.74,9.3,2,2.51,2,yes
MN,152,area_code_415,no,no,0,317.8,60,54.03,152.9,100,13.0,123.4,63,5.55,10.4,7,2.81,1,yes
WV,124,area_code_415,no,no,0,312.0,112,53.04,180.0,109,15.3,168.6,94,7.59,12.8,4,3.46,1,yes
MS,131,area_code_415,no,no,0,131.6,95,22.37,179.3,109,15.24,251.2,129,11.3,15.5,3,4.19,1,yes
ND,122,area_code_408,no,no,0,231.2,141,39.3,267.8,136,22.76,240.3,100,10.81,8.8,5,2.38,1,yes
OH,115,area_code_510,yes,no,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1,yes
AL,25,area_code_408,no,no,0,264.9,80,45.03,281.2,66,23.9,166.1,80,7.47,8.4,4,2.27,1,yes
DE,97,area_code_510,no,no,0,225.1,90,38.27,279.5,127,23.76,233.8,103,10.52,8.8,4,2.38,0,yes
OK,86,area_code_510,yes,no,0,162.4,131,27.61,167.0,102,14.2,128.9,118,5.8,11.4,2,3.08,2,yes
NH,125,area_code_415,yes,no,0,298.4,78,50.73,270.5,142,22.99,107.3,84,4.83,12.2,2,3.29,0,yes
MI,105,area_code_415,no,no,0,226.9,106,38.57,182.2,77,15.49,203.9,107,9.18,11.6,2,3.13,0,yes
SC,116,area_code_408,no,no,0,288.0,120,48.96,255.8,90,21.74,233.4,99,10.5,13.4,4,3.62,0,yes
NJ,88,area_code_415,no,no,0,301.5,136,51.26,257.7,72,21.9,132.9,118,5.98,13.4,2,3.62,4,yes
VA,50,area_code_415,yes,no,0,99.6,108,16.93,308.7,102,26.24,161.2,62,7.25,13.7,6,3.7,2,yes
NM,188,area_code_415,yes,yes,26,198.8,115,33.8,166.6,67,14.16,198.5,118,8.93,14.4,3,3.89,1,yes
RI,103,area_code_510,yes,no,0,255.9,128,43.5,140.9,92,11.98,308.9,130,13.9,12.1,2,3.27,1,yes
MS,65,area_code_415,yes,no,0,277.9,123,47.24,155.8,112,13.24,256.9,71,11.56,9.2,10,2.48,0,yes
IA,44,area_code_415,no,no,0,308.6,139,52.46,150.8,94,12.82,198.7,66,8.94,7.3,3,1.97,4,yes
SC,121,area_code_415,no,no,0,144.8,126,24.62,200.6,82,17.05,208.8,81,9.4,13.3,9,3.59,0,yes
MN,125,area_code_415,yes,yes,29,260.8,81,44.34,163.7,112,13.91,271.7,117,12.23,17.0,6,4.59,1,yes
MN,125,area_code_415,no,no,0,240.7,82,40.92,269.4,85,22.9,187.1,74,8.42,10.1,3,2.73,0,yes
SC,209,area_code_510,no,no,0,255.1,124,43.37,230.6,110,19.6,218.0,69,9.81,8.5,5,2.3,3,yes
WV,63,area_code_510,no,no,0,261.8,69,44.51,245.0,135,20.83,202.1,94,9.09,14.7,4,3.97,0,yes
NJ,182,area_code_415,no,no,0,279.1,124,47.45,180.5,108,15.34,217.5,104,9.79,9.5,11,2.57,2,yes
NJ,127,area_code_510,no,no,0,245.2,91,41.68,217.2,92,18.46,243.1,128,10.94,13.9,6,3.75,0,yes
PA,61,area_code_408,no,yes,40,105.0,78,17.85,180.6,100,15.35,174.1,115,7.83,10.2,2,2.75,2,yes
MD,147,area_code_408,no,no,0,274.0,92,46.58,231.8,82,19.7,283.6,83,12.76,6.2,1,1.67,0,yes
IL,137,area_code_408,yes,no,0,237.3,103,40.34,176.7,84,15.02,263.4,81,11.85,14.2,4,3.83,0,yes
WI,161,area_code_408,no,no,0,154.7,84,26.3,177.8,125,15.11,172.9,90,7.78,5.9,2,1.59,4,yes
NJ,134,area_code_510,no,yes,34,247.2,105,42.02,225.5,133,19.17,186.3,76,8.38,6.1,5,1.65,2,yes
MD,119,area_code_408,no,no,0,239.1,88,40.65,243.5,79,20.7,230.9,92,10.39,10.9,3,2.94,3,yes
MN,38,area_code_510,no,no,0,175.7,109,29.87,211.8,97,18.0,137.9,109,6.21,9.2,3,2.48,5,yes
AR,109,area_code_415,no,yes,29,111.2,90,18.9,263.5,98,22.4,224.7,128,10.11,9.0,6,2.43,6,yes
SD,52,area_code_510,yes,no,0,251.4,118,42.74,196.6,80,16.71,192.0,53,8.64,11.0,2,2.97,0,yes
ID,130,area_code_415,no,no,0,263.7,113,44.83,186.5,103,15.85,195.3,99,8.79,18.3,6,4.94,1,yes
WY,159,area_code_415,no,no,0,167.4,68,28.46,143.8,74,12.22,140.1,111,6.3,10.3,3,2.78,0,yes
OR,81,area_code_415,no,no,0,324.7,48,55.2,236.4,82,20.09,187.6,78,8.44,13.1,5,3.54,0,yes
AL,89,area_code_510,no,no,0,129.2,71,21.96,214.1,68,18.2,214.9,100,9.67,10.3,4,2.78,5,yes
MS,123,area_code_415,yes,no,0,125.5,106,21.34,128.9,96,10.96,251.9,129,11.34,6.3,6,1.7,4,yes
SC,112,area_code_415,no,no,0,266.0,97,45.22,214.6,94,18.24,306.2,100,13.78,14.2,2,3.83,2,yes
MA,17,area_code_415,yes,no,0,162.8,118,27.68,229.6,91,19.52,332.7,94,14.97,13.6,3,3.67,0,yes
WY,134,area_code_510,no,no,0,296.0,93,50.32,226.4,117,19.24,246.8,98,11.11,12.3,10,3.32,0,yes
MI,178,area_code_408,yes,no,0,124.5,134,21.17,141.2,78,12.0,268.2,113,12.07,11.4,2,3.08,2,yes
UT,170,area_code_415,no,no,0,285.7,44,48.57,167.5,144,14.24,260.0,97,11.7,8.7,4,2.35,1,yes
CT,93,area_code_415,no,no,0,271.1,101,46.09,237.4,133,20.18,145.4,103,6.54,8.4,6,2.27,1,yes
MS,78,area_code_408,no,no,0,108.6,108,18.46,209.9,126,17.84,222.6,117,10.02,7.9,5,2.13,1,yes
NV,148,area_code_415,no,no,0,279.3,104,47.48,201.6,87,17.14,280.8,99,12.64,7.9,2,2.13,2,yes
WA,96,area_code_415,no,no,0,276.9,105,47.07,246.9,94,20.99,254.4,107,11.45,10.3,3,2.78,1,yes
IN,72,area_code_510,no,no,0,287.4,116,48.86,235.3,126,20.0,292.1,114,13.14,5.0,3,1.35,4,yes
DC,24,area_code_408,no,no,0,149.0,73,25.33,131.0,81,11.14,238.6,69,10.74,8.6,3,2.32,2,yes
OK,44,area_code_408,no,no,0,288.8,86,49.1,175.9,87,14.95,215.4,106,9.69,9.5,2,2.57,0,yes
GA,117,area_code_415,yes,no,0,287.4,118,48.86,259.6,84,22.07,153.2,86,6.89,10.0,3,2.7,1,yes
ND,145,area_code_415,no,no,0,245.8,116,41.79,286.7,91,24.37,240.7,115,10.83,9.0,13,2.43,1,yes
WY,123,area_code_415,no,no,0,242.2,87,41.17,226.1,101,19.22,268.6,121,12.09,8.2,3,2.21,5,yes
KY,98,area_code_415,no,yes,36,168.0,81,28.56,163.2,125,13.87,172.7,120,7.77,8.0,2,2.16,6,yes
OR,99,area_code_408,no,no,0,256.4,44,43.59,214.5,105,18.23,233.7,75,10.52,7.9,1,2.13,3,yes
CT,160,area_code_415,no,no,0,234.9,136,39.93,270.8,134,23.02,219.3,101,9.87,13.9,2,3.75,1,yes
MI,148,area_code_415,yes,no,0,233.5,81,39.7,187.7,71,15.95,122.3,97,5.5,9.6,2,2.59,0,yes
MT,147,area_code_415,no,yes,35,197.3,134,33.54,141.1,99,11.99,212.1,90,9.54,10.1,4,2.73,2,yes
HI,99,area_code_408,no,no,0,135.7,107,23.07,208.4,103,17.71,209.0,95,9.4,8.8,3,2.38,7,yes
KS,84,area_code_415,no,no,0,225.9,86,38.4,275.6,105,23.43,201.4,108,9.06,14.3,3,3.86,3,yes
NY,131,area_code_408,yes,no,0,122.3,83,20.79,118.8,94,10.1,147.9,95,6.66,13.7,3,3.7,3,yes
MI,108,area_code_408,yes,no,0,115.1,114,19.57,211.3,70,17.96,136.1,85,6.12,13.8,3,3.73,2,yes
VT,128,area_code_408,no,no,0,227.9,130,38.74,302.6,71,25.72,191.5,82,8.62,5.5,7,1.49,1,yes
WA,177,area_code_415,no,no,0,266.1,91,45.24,225.2,79,19.14,224.7,58,10.11,8.9,8,2.4,3,yes
TX,169,area_code_408,no,no,0,266.7,105,45.34,158.2,88,13.45,287.7,111,12.95,13.8,3,3.73,3,yes
MT,103,area_code_510,no,yes,35,110.5,101,18.79,208.3,81,17.71,87.4,77,3.93,13.9,2,3.75,4,yes
ME,88,area_code_415,no,no,0,85.7,112,14.57,221.6,70,18.84,190.6,75,8.58,11.6,3,3.13,4,yes
MN,57,area_code_415,no,no,0,272.7,74,46.36,224.9,85,19.12,178.2,104,8.02,10.5,3,2.84,2,yes
SC,101,area_code_415,no,no,0,158.4,92,26.93,188.0,117,15.98,219.7,125,9.89,13.5,4,3.65,4,yes
CO,130,area_code_408,no,no,0,271.8,129,46.21,237.2,128,20.16,210.1,91,9.45,8.7,2,2.35,4,yes
MD,154,area_code_510,no,no,0,154.5,122,26.27,214.2,71,18.21,178.0,105,8.01,12.0,2,3.24,3,yes
TX,75,area_code_415,no,no,0,305.1,106,51.87,188.0,115,15.98,235.4,116,10.59,8.5,5,2.3,0,yes
WV,88,area_code_510,no,no,0,131.5,99,22.36,174.8,128,14.86,184.2,83,8.29,7.9,2,2.13,5,yes
SD,27,area_code_510,no,no,0,226.3,95,38.47,274.3,109,23.32,242.7,119,10.92,8.2,3,2.21,2,yes
AR,115,area_code_415,no,no,0,139.3,89,23.68,192.3,95,16.35,151.0,75,6.8,9.3,3,2.51,7,yes
HI,108,area_code_415,no,no,0,291.6,99,49.57,221.1,93,18.79,229.2,110,10.31,14.0,9,3.78,2,yes
IA,40,area_code_510,no,no,0,169.7,115,28.85,141.4,123,12.02,253.0,115,11.39,10.5,3,2.84,4,yes
MT,100,area_code_415,no,no,0,113.3,96,19.26,197.9,89,16.82,284.5,93,12.8,11.7,2,3.16,4,yes
NC,161,area_code_415,no,no,0,322.3,100,54.79,230.4,135,19.58,241.5,104,10.87,7.8,5,2.11,2,yes
NH,35,area_code_408,no,no,0,138.1,115,23.48,158.2,82,13.45,215.7,118,9.71,10.3,2,2.78,5,yes
WA,60,area_code_415,yes,no,0,205.9,97,35.0,277.4,117,23.58,202.0,139,9.09,11.0,2,2.97,0,yes
ME,56,area_code_408,no,no,0,221.9,112,37.72,278.2,122,23.65,288.1,85,12.96,7.1,5,1.92,0,yes
AR,127,area_code_415,yes,no,0,143.2,60,24.34,179.5,159,15.26,171.8,122,7.73,6.2,4,1.67,4,yes
TX,201,area_code_415,no,no,0,225.9,110,38.4,299.1,86,25.42,251.3,81,11.31,11.2,4,3.02,1,yes
ID,78,area_code_415,no,no,0,103.5,115,17.6,117.9,102,10.02,201.0,94,9.05,12.0,3,3.24,4,yes
WA,76,area_code_510,yes,no,0,246.8,110,41.96,206.3,63,17.54,208.4,123,9.38,13.2,5,3.56,0,yes
ID,103,area_code_415,no,no,0,174.7,151,29.7,148.0,56,12.58,168.2,109,7.57,15.8,3,4.27,6,yes
CT,87,area_code_415,no,no,0,240.0,83,40.8,134.1,106,11.4,189.1,84,8.51,9.3,2,2.51,0,yes
MS,111,area_code_408,no,no,0,294.7,90,50.1,294.6,72,25.04,260.1,121,11.7,10.8,3,2.92,1,yes
IN,115,area_code_415,no,no,0,226.4,101,38.49,276.8,60,23.53,213.4,82,9.6,12.3,4,3.32,3,yes
ME,100,area_code_510,no,no,0,264.5,117,44.97,194.0,111,16.49,262.7,111,11.82,7.5,4,2.03,2,yes
WA,121,area_code_510,no,no,0,255.1,93,43.37,266.9,97,22.69,197.7,118,8.9,8.8,3,2.38,3,yes
AK,177,area_code_415,yes,no,0,248.7,118,42.28,172.3,73,14.65,191.9,87,8.64,11.3,2,3.05,1,yes
AR,113,area_code_415,yes,no,0,122.2,112,20.77,131.7,94,11.19,169.5,106,7.63,10.3,9,2.78,5,yes
NC,77,area_code_408,yes,yes,44,103.2,117,17.54,236.3,86,20.09,203.5,101,9.16,11.9,2,3.21,0,yes
OK,146,area_code_510,no,no,0,138.4,104,23.53,158.9,122,13.51,47.4,73,2.13,3.9,9,1.05,4,yes
