state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
RI,138,area_code_510,yes,no,0,286.2,61,48.65,187.2,60,15.91,146.2,114,6.58,11.0,4,2.97,2,yes
ID,82,area_code_415,no,no,0,266.9,83,45.37,229.7,74,19.52,251.7,99,11.33,11.0,6,2.97,3,yes
MD,133,area_code_510,no,no,0,295.0,141,50.15,223.6,101,19.01,229.4,109,10.32,12.9,4,3.48,2,yes
AR,76,area_code_408,no,no,0,107.3,140,18.24,238.2,133,20.25,271.8,116,12.23,10.0,3,2.7,4,yes
KS,170,area_code_415,no,yes,42,199.5,119,33.92,135.0,90,11.48,184.6,49,8.31,10.9,3,2.94,4,yes
MI,119,area_code_510,yes,yes,22,172.1,119,29.26,223.6,133,19.01,150.0,94,6.75,13.9,20,3.75,1,yes
CA,84,area_code_415,no,no,0,280.0,113,47.6,202.2,90,17.19,156.8,103,7.06,10.4,4,2.81,0,yes
IL,71,area_code_510,yes,no,0,186.1,114,31.64,198.6,140,16.88,206.5,80,9.29,13.8,5,3.73,4,yes
GA,122,area_code_510,yes,no,0,140.0,101,23.8,196.4,77,16.69,120.1,133,5.4,9.7,4,2.62,4,yes
MD,62,area_code_408,no,no,0,321.1,105,54.59,265.5,122,22.57,180.5,72,8.12,11.5,2,3.11,4,yes
IN,117,area_code_415,no,no,0,118.4,126,20.13,249.3,97,21.19,227.0,56,10.22,13.6,3,3.67,5,yes
CA,73,area_code_415,no,no,0,137.6,113,23.39,179.7,75,15.27,172.8,71,7.78,10.7,2,2.89,1,yes
CA,125,area_code_510,yes,no,0,158.7,112,26.98,155.7,126,13.23,246.0,110,11.07,8.3,1,2.24,2,yes
OR,194,area_code_415,no,no,0,258.3,76,43.91,306.0,88,26.01,241.8,106,10.88,13.6,4,3.67,1,yes
SD,98,area_code_415,no,no,0,307.2,65,52.22,138.6,97,11.78,381.6,99,17.17,10.2,4,2.75,2,yes
MI,61,area_code_408,no,no,0,208.4,102,35.43,326.1,96,27.72,201.9,73,9.09,10.1,8,2.73,1,yes
NV,111,area_code_415,no,no,0,304.6,56,51.78,157.6,101,13.4,188.2,116,8.47,12.4,1,3.35,1,yes
WV,64,area_code_415,no,no,0,160.6,110,27.3,171.9,97,14.61,105.2,56,4.73,7.3,2,1.97,0,yes
SD,137,area_code_415,no,no,0,144.5,119,24.57,167.3,89,14.22,175.1,76,7.88,6.1,4,1.65,5,yes
DE,120,area_code_415,no,no,0,253.2,95,43.04,210.8,86,17.92,253.9,81,11.43,9.5,4,2.57,5,yes
WV,43,area_code_408,yes,no,0,160.5,92,27.29,235.8,121,20.04,111.8,95,5.03,13.8,5,3.73,1,yes
TN,110,area_code_510,no,no,0,220.9,100,37.55,279.6,76,23.77,239.8,107,10.79,13.5,9,3.65,1,yes
UT,133,area_code_510,no,no,0,338.4,86,57.53,234.6,97,19.94,264.8,139,11.92,14.8,4,4.0,3,yes
DE,109,area_code_415,yes,yes,36,244.2,147,41.51,199.7,65,16.97,144.4,109,6.5,15.4,3,4.16,2,yes
ME,73,area_code_408,no,no,0,272.4,112,46.31,252.2,91,21.44,255.4,112,11.49,10.9,5,2.94,1,yes
LA,96,area_code_510,no,no,0,182.6,75,31.04,188.6,67,16.03,137.7,81,6.2,9.5,3,2.57,5,yes
UT,89,area_code_408,no,no,0,144.2,74,24.51,164.7,119,14.0,279.2,121,12.56,12.1,7,3.27,4,yes
SC,40,area_code_415,no,no,0,309.4,86,52.6,271.3,98,23.06,197.1,116,8.87,11.2,5,3.02,3,yes
WV,161,area_code_415,no,no,0,159.6,102,27.13,212.6,119,18.07,151.4,83,6.81,12.6,7,3.4,5,yes
WV,69,area_code_415,yes,no,0,176.8,89,30.06,196.0,89,16.66,232.6,151,10.47,13.1,5,3.54,1,yes
TX,104,area_code_415,no,no,0,261.2,81,44.4,209.1,130,17.77,281.1,121,12.65,11.3,1,3.05,2,yes
ME,79,area_code_510,yes,no,0,300.4,113,51.07,210.8,93,17.92,173.4,121,7.8,11.9,3,3.21,2,yes
MA,117,area_code_408,no,no,0,302.6,83,51.44,167.1,106,14.2,209.8,79,9.44,10.4,7,2.81,1,yes
ME,163,area_code_415,no,yes,30,195.2,123,33.18,126.4,115,10.74,221.0,90,9.95,9.0,5,2.43,5,yes
LA,59,area_code_415,no,no,0,119.0,119,20.23,134.5,115,11.43,298.6,75,13.44,9.0,6,2.43,2,yes
WI,72,area_code_415,no,no,0,129.8,106,22.07,188.7,138,16.04,212.5,116,9.56,8.3,4,2.24,4,yes
SD,108,area_code_510,yes,no,0,275.9,84,46.9,203.0,91,17.26,211.4,108,9.51,6.7,4,1.81,2,yes
MS,120,area_code_415,no,no,0,112.6,80,19.14,124.4,86,10.57,234.9,88,10.57,8.1,3,2.19,6,yes
WV,78,area_code_408,no,no,0,226.3,88,38.47,306.2,81,26.03,200.9,120,9.04,7.8,11,2.11,1,yes
ID,69,area_code_510,yes,no,0,199.7,121,33.95,189.4,92,16.1,264.0,120,11.88,11.1,4,3.0,6,yes
RI,60,area_code_415,no,no,0,221.0,94,37.57,308.2,72,26.2,233.2,94,10.49,10.1,5,2.73,1,yes
VA,88,area_code_415,no,no,0,294.3,83,50.03,172.1,104,14.63,177.3,105,7.98,5.8,7,1.57,2,yes
OK,78,area_code_415,no,no,0,290.5,119,49.39,158.4,75,13.46,255.6,101,11.5,8.6,6,2.32,2,yes
TN,102,area_code_415,no,no,0,183.2,112,31.14,187.5,113,15.94,232.3,77,10.45,9.2,5,2.48,1,yes
FL,100,area_code_415,no,no,0,303.0,93,51.51,175.6,89,14.93,135.2,102,6.08,10.4,5,2.81,1,yes
NH,127,area_code_415,yes,no,0,324.3,107,55.13,141.6,90,12.04,207.6,90,9.34,12.8,7,3.46,1,yes
AR,49,area_code_408,yes,yes,32,176.9,118,30.07,227.0,121,19.3,204.4,115,9.2,15.1,3,4.08,3,yes
TN,89,area_code_415,no,no,0,208.4,112,35.43,189.5,116,16.11,264.4,101,11.9,16.8,1,4.54,0,yes
FL,113,area_code_415,no,no,0,317.1,97,53.91,224.8,70,19.11,215.1,90,9.68,13.6,2,3.67,1,yes
WV,166,area_code_408,no,yes,41,196.7,109,33.44,124.3,107,10.57,198.3,94,8.92,11.0,5,2.97,5,yes
GA,69,area_code_408,no,no,0,215.9,122,36.7,270.3,114,22.98,301.8,129,13.58,6.1,5,1.65,4,yes
AL,64,area_code_510,no,no,0,297.8,88,50.63,196.0,89,16.66,213.7,107,9.62,12.0,2,3.24,1,yes
MT,117,area_code_415,no,no,0,233.4,71,39.68,296.4,76,25.19,276.9,103,12.46,10.3,1,2.78,0,yes
IN,116,area_code_415,no,no,0,271.0,114,46.07,209.9,71,17.84,193.5,109,8.71,13.7,2,3.7,5,yes
OR,3,area_code_510,no,no,0,125.5,100,21.34,266.2,78,22.63,270.4,119,12.17,5.9,6,1.59,3,yes
FL,185,area_code_510,no,yes,24,121.6,100,20.67,108.3,77,9.21,206.3,98,9.28,12.3,2,3.32,5,yes
KS,92,area_code_510,no,no,0,325.4,73,55.32,127.8,100,10.86,209.9,98,9.45,9.3,10,2.51,1,yes
NJ,91,area_code_415,no,no,0,93.5,110,15.9,213.3,79,18.13,171.7,83,7.73,8.9,4,2.4,4,yes
MN,113,area_code_408,no,no,0,198.6,115,33.76,258.0,106,21.93,245.8,104,11.06,10.2,6,2.75,1,yes
DE,102,area_code_408,no,no,0,245.4,82,41.72,260.3,124,22.13,195.1,82,8.78,10.5,3,2.84,3,yes
UT,80,area_code_415,no,yes,33,189.4,109,32.2,148.7,68,12.64,208.9,119,9.4,11.2,4,3.02,1,yes
NV,109,area_code_408,no,yes,39,270.0,58,45.9,235.5,108,20.02,194.3,57,8.74,7.8,6,2.11,1,yes
TX,104,area_code_415,no,no,0,304.0,141,51.68,264.1,127,22.45,138.1,104,6.21,7.2,4,1.94,0,yes
KY,131,area_code_415,no,no,0,210.1,97,35.72,177.3,96,15.07,130.2,136,5.86,13.3,1,3.59,0,yes
MO,178,area_code_408,no,yes,32,148.7,95,25.28,198.6,55,16.88,187.0,113,8.41,10.4,7,2.81,6,yes
WV,136,area_code_510,no,no,0,240.1,121,40.82,271.2,123,23.05,132.7,98,5.97,17.2,4,4.64,0,yes
AR,90,area_code_408,no,no,0,235.0,77,39.95,267.3,94,22.72,222.1,119,9.99,5.3,4,1.43,3,yes
MT,63,area_code_415,no,no,0,162.5,86,27.63,165.4,112,14.06,163.7,67,7.37,13.4,6,3.62,4,yes
AK,152,area_code_510,no,no,0,302.8,143,51.48,189.8,69,16.13,214.9,114,9.67,10.9,4,2.94,2,yes
KY,155,area_code_510,yes,yes,38,234.6,84,39.88,214.9,119,18.27,196.7,69,8.85,8.0,2,2.16,1,yes
CT,68,area_code_510,yes,no,0,197.7,99,33.61,188.8,106,16.05,254.6,80,11.46,19.2,4,5.18,3,yes
OH,123,area_code_510,no,no,0,222.4,90,37.81,286.3,104,24.34,300.8,95,13.54,9.9,3,2.67,2,yes
IN,88,area_code_415,no,no,0,82.7,94,14.06,157.5,130,13.39,205.9,81,9.27,10.6,4,2.86,0,yes
NY,68,area_code_415,no,no,0,267.9,80,45.54,145.4,143,12.36,273.3,119,12.3,14.9,1,4.02,3,yes
MT,117,area_code_510,no,no,0,180.6,134,30.7,216.6,96,18.41,101.0,122,4.55,10.6,6,2.86,4,yes
WA,124,area_code_408,no,no,0,282.8,108,48.08,246.3,89,20.94,256.4,96,11.54,10.3,1,2.78,3,yes
MA,50,area_code_510,no,no,0,160.1,64,27.22,208.7,123,17.74,199.7,84,8.99,7.6,12,2.05,5,yes
DC,65,area_code_408,no,no,0,244.5,72,41.57,206.2,88,17.53,299.8,110,13.49,7.6,1,2.05,5,yes
ID,95,area_code_408,no,no,0,133.0,94,22.61,196.6,126,16.71,181.0,128,8.15,9.9,3,2.67,4,yes
WA,118,area_code_408,no,no,0,297.2,113,50.52,188.8,114,16.05,188.9,100,8.5,12.4,6,3.35,1,yes
ID,123,area_code_415,no,no,0,132.2,122,22.47,169.9,101,14.44,150.1,123,6.75,12.9,11,3.48,3,yes
NJ,112,area_code_408,no,no,0,351.5,95,59.76,206.8,108,17.58,275.8,146,12.41,11.9,4,3.21,1,yes
NJ,60,area_code_415,yes,no,0,97.2,91,16.52,243.7,93,20.71,235.0,116,10.58,10.1,2,2.73,1,yes
TN,175,area_code_408,yes,yes,35,159.5,95,27.12,140.7,100,11.96,176.3,99,7.93,5.4,4,1.46,5,yes
ND,117,area_code_415,yes,no,0,158.1,101,26.88,315.1,96,26.78,176.1,108,7.92,13.9,2,3.75,3,yes
NH,131,area_code_510,no,no,0,103.5,105,17.6,174.1,103,14.8,248.2,95,11.17,11.7,2,3.16,5,yes
WY,67,area_code_510,no,no,0,125.0,96,21.25,294.5,114,25.03,205.7,75,9.26,10.2,4,2.75,1,yes
ID,107,area_code_415,no,no,0,260.6,81,44.3,246.1,116,20.92,243.3,117,10.95,12.8,9,3.46,0,yes
DE,52,area_code_415,no,no,0,257.9,80,43.84,220.7,82,18.76,225.4,70,10.14,16.8,3,4.54,2,yes
IL,124,area_code_510,no,no,0,133.2,80,22.64,144.2,98,12.26,261.0,102,11.75,12.0,3,3.24,3,yes
LA,61,area_code_408,no,no,0,140.8,126,23.94,212.5,115,18.06,141.7,79,6.38,6.4,5,1.73,4,yes
NJ,77,area_code_408,yes,yes,34,209.9,79,35.68,226.1,88,19.22,101.8,103,4.58,11.4,2,3.08,2,yes
NJ,119,area_code_408,no,no,0,287.1,83,48.81,218.4,124,18.56,151.5,42,6.82,11.0,4,2.97,1,yes
OH,142,area_code_408,yes,no,0,160.6,101,27.3,202.0,125,17.17,221.7,100,9.98,8.8,2,2.38,1,yes
UT,139,area_code_510,no,no,0,258.7,94,43.98,190.3,132,16.18,247.2,73,11.12,11.4,2,3.08,1,yes
KY,110,area_code_408,no,no,0,244.7,84,41.6,106.4,95,9.04,194.9,61,8.77,10.5,1,2.84,2,yes
AR,32,area_code_415,yes,no,0,265.5,75,45.14,119.7,77,10.17,169.9,128,7.65,14.8,6,4.0,2,yes
UT,101,area_code_415,no,no,0,332.1,91,56.46,151.0,123,12.84,277.8,99,12.5,11.3,3,3.05,1,yes
MA,150,area_code_408,no,no,0,150.9,92,25.65,191.0,106,16.24,223.6,107,10.06,8.3,4,2.24,5,yes
OK,94,area_code_415,no,no,0,255.1,96,43.37,276.9,67,23.54,226.5,74,10.19,10.6,2,2.86,0,yes
KS,74,area_code_408,no,no,0,286.9,113,48.77,260.8,121,22.17,137.1,94,6.17,12.6,6,3.4,0,yes
AL,76,area_code_415,no,no,0,222.0,99,37.74,215.9,122,18.35,204.1,131,9.18,8.2,5,2.21,3,yes
MN,161,area_code_408,no,no,0,252.3,120,42.89,243.8,98,20.72,284.4,96,12.8,9.2,2,2.48,1,yes
WV,116,area_code_415,no,no,0,255.5,93,43.44,224.4,122,19.07,317.3,85,14.28,12.7,4,3.43,1,yes
VT,106,area_code_510,yes,no,0,196.7,100,33.44,210.2,109,17.87,173.8,83,7.82,7.8,1,2.11,4,yes
OR,174,area_code_415,no,no,0,222.3,102,37.79,173.8,123,14.77,297.2,97,13.37,5.7,2,1.54,0,yes
NY,98,area_code_510,no,no,0,198.6,92,33.76,349.4,99,29.7,221.7,83,9.98,7.3,6,1.97,2,yes
AK,36,area_code_415,yes,yes,19,171.9,96,29.22,198.4,111,16.86,321.7,76,14.48,10.5,1,2.84,1,yes
HI,87,area_code_510,no,no,0,297.4,63,50.56,118.4,108,10.06,242.3,72,10.9,11.0,2,2.97,2,yes
TX,125,area_code_415,no,no,0,190.2,107,32.33,209.2,75,17.78,102.1,136,4.59,14.2,5,3.83,4,yes
AZ,102,area_code_510,no,no,0,171.6,116,29.17,219.4,111,18.65,242.1,85,10.89,12.1,4,3.27,0,yes
TN,78,area_code_415,yes,no,0,71.5,126,12.16,166.8,127,14.18,211.6,86,9.52,8.3,2,2.24,3,yes
CO,141,area_code_408,no,no,0,264.3,90,44.93,216.4,101,18.39,208.8,72,9.4,9.6,3,2.59,0,yes
DC,150,area_code_510,yes,no,0,114.8,156,19.52,135.3,78,11.5,218.4,98,9.83,15.6,4,4.21,1,yes
FL,91,area_code_415,no,no,0,153.2,70,26.04,231.7,91,19.69,115.1,80,5.18,9.8,3,2.65,4,yes
UT,67,area_code_510,no,no,0,225.9,78,38.4,243.1,83,20.66,84.1,94,3.78,13.5,2,3.65,2,yes
OK,103,area_code_510,no,no,0,267.0,97,45.39,204.3,151,17.37,246.9,67,11.11,11.3,7,3.05,1,yes
WA,65,area_code_510,no,no,0,183.4,63,31.18,183.6,80,15.61,153.5,83,6.91,10.7,4,2.89,4,yes
MO,86,area_code_510,no,no,0,223.0,109,37.91,286.2,76,24.33,257.8,132,11.6,7.5,7,2.03,3,yes
OK,103,area_code_415,no,no,0,278.4,121,47.33,252.2,139,21.44,202.3,96,9.1,13.7,1,3.7,1,yes
AZ,155,area_code_415,yes,no,0,176.1,88,29.94,244.5,84,20.78,189.9,99,8.55,11.2,1,3.02,2,yes
NV,104,area_code_415,no,no,0,210.9,90,35.85,272.2,101,23.14,304.3,86,13.69,10.6,5,2.86,3,yes
TN,45,area_code_415,yes,no,0,189.6,96,32.23,171.7,69,14.59,222.0,102,9.99,13.9,7,3.75,1,yes
ME,173,area_code_408,no,no,0,128.6,108,21.86,248.3,92,21.11,130.1,115,5.85,10.4,2,2.81,4,yes
OH,49,area_code_408,no,no,0,202.3,105,34.39,195.4,131,16.61,190.1,88,8.55,9.0,2,2.43,3,yes
MT,64,area_code_415,no,no,0,131.3,105,22.32,109.4,114,9.3,246.2,125,11.08,12.7,4,3.43,4,yes
SC,105,area_code_408,yes,no,0,274.0,156,46.58,263.0,69,22.36,195.9,93,8.82,11.3,3,3.05,3,yes
WV,176,area_code_510,no,no,0,304.2,111,51.71,306.6,64,26.06,207.9,98,9.36,9.5,2,2.57,7,yes
IL,108,area_code_510,yes,no,0,137.3,68,23.34,143.8,94,12.22,238.7,101,10.74,8.9,1,2.4,1,yes
ME,81,area_code_415,yes,no,0,220.4,76,37.47,276.4,122,23.49,239.5,112,10.78,11.4,5,3.08,1,yes
MN,128,area_code_510,yes,no,0,192.8,96,32.78,136.6,86,11.61,151.8,75,6.83,13.5,4,3.65,1,yes
KY,76,area_code_510,no,no,0,293.8,94,49.95,169.6,62,14.42,160.4,103,7.22,13.7,9,3.7,0,yes
DC,78,area_code_415,yes,no,0,176.6,107,30.02,179.4,98,15.25,178.2,80,8.02,16.6,5,4.48,2,yes
OK,33,area_code_415,yes,no,0,247.1,114,42.01,146.5,110,12.45,208.9,94,9.4,10.6,2,2.86,4,yes
TX,109,area_code_510,yes,no,0,159.6,136,27.13,151.0,126,12.84,142.1,53,6.39,7.3,4,1.97,4,yes
IN,168,area_code_415,no,no,0,160.6,110,27.3,185.2,120,15.74,120.2,104,5.41,9.1,4,2.46,1,yes
NY,138,area_code_415,yes,no,0,261.1,96,44.39,170.9,120,14.53,71.1,89,3.2,0.0,0,0.0,3,yes
DC,149,area_code_415,no,yes,25,185.6,109,31.55,167.3,89,14.22,171.6,100,7.72,10.7,3,2.89,1,yes
DE,140,area_code_415,no,no,0,143.0,100,24.31,193.4,89,16.44,59.5,81,2.68,12.3,8,3.32,4,yes
OK,88,area_code_408,yes,no,0,132.9,132,22.59,208.2,82,17.7,260.5,42,11.72,14.4,11,3.89,2,yes
OH,95,area_code_510,no,yes,24,129.4,120,22.0,159.8,68,13.58,214.4,83,9.65,12.6,4,3.4,4,yes
KS,116,area_code_408,yes,no,0,232.2,98,39.47,244.7,91,20.8,151.3,69,6.81,10.6,1,2.86,7,yes
VT,100,area_code_510,no,no,0,254.2,97,43.21,262.0,88,22.27,256.3,82,11.53,13.6,6,3.67,0,yes
OR,101,area_code_415,yes,no,0,169.5,117,28.82,212.0,111,18.02,204.0,120,9.18,9.7,1,2.62,0,yes
MD,116,area_code_408,no,no,0,254.6,107,43.28,249.4,89,21.2,229.6,77,10.33,9.0,18,2.43,2,yes
KS,70,area_code_415,no,no,0,325.5,128,55.34,300.3,105,25.53,199.8,93,8.99,5.7,7,1.54,1,yes
MD,103,area_code_415,yes,no,0,133.2,90,22.64,236.8,70,20.13,214.1,120,9.63,12.5,2,3.38,1,yes
IA,157,area_code_415,no,no,0,248.7,113,42.28,251.8,79,21.4,262.7,46,11.82,7.5,3,2.03,5,yes
NM,136,area_code_408,no,no,0,276.3,94,46.97,226.0,125,19.21,221.4,87,9.96,7.2,1,1.94,1,yes
CT,60,area_code_415,yes,yes,45,135.6,101,23.05,94.9,73,8.07,154.0,118,6.93,9.8,3,2.65,4,yes
CA,86,area_code_415,no,no,0,234.6,102,39.88,268.3,109,22.81,195.6,102,8.8,11.6,4,3.13,1,yes
IA,121,area_code_415,no,no,0,273.8,96,46.55,263.1,106,22.36,201.5,83,9.07,10.8,3,2.92,1,yes
OR,100,area_code_415,no,yes,31,67.7,67,11.51,147.1,116,12.5,288.3,103,12.97,12.3,2,3.32,6,yes
NM,42,area_code_415,no,no,0,137.9,160,23.44,234.9,107,19.97,166.6,70,7.5,14.3,3,3.86,5,yes
NJ,124,area_code_415,no,no,0,108.2,92,18.39,214.3,83,18.22,185.5,155,8.35,13.2,11,3.56,4,yes
MD,80,area_code_510,yes,no,0,275.4,89,46.82,186.7,66,15.87,201.3,87,9.06,9.4,2,2.54,0,yes
WV,131,area_code_510,no,no,0,256.6,96,43.62,225.2,113,19.14,190.2,91,8.56,11.1,3,3.0,1,yes
SD,72,area_code_415,no,yes,38,84.3,116,14.33,267.2,127,22.71,167.7,75,7.55,8.3,6,2.24,4,yes
OR,65,area_code_408,yes,no,0,54.8,74,9.32,239.8,93,20.38,214.4,91,9.65,13.4,5,3.62,1,yes
MT,127,area_code_408,no,no,0,271.2,110,46.1,213.5,80,18.15,201.8,102,9.08,13.2,4,3.56,0,yes
MN,178,area_code_510,no,no,0,225.4,104,38.32,110.7,90,9.41,134.1,109,6.03,15.3,5,4.13,2,yes
AR,41,area_code_415,no,no,0,102.9,114,17.49,107.9,119,9.17,277.6,99,12.49,11.0,4,2.97,6,yes
MO,38,area_code_510,no,no,0,281.1,113,47.79,236.1,82,20.07,230.1,60,10.35,10.9,3,2.94,1,yes
CT,110,area_code_415,no,no,0,251.3,91,42.72,207.2,95,17.61,249.0,70,11.21,12.9,2,3.48,1,yes
TN,114,area_code_415,yes,no,0,200.7,72,34.12,271.2,79,23.05,188.2,97,8.47,13.4,7,3.62,2,yes
NM,89,area_code_408,no,no,0,269.8,94,45.87,227.0,125,19.3,212.2,135,9.55,4.7,6,1.27,1,yes
IN,91,area_code_415,no,no,0,289.3,73,49.18,179.8,86,15.28,186.7,94,8.4,6.4,7,1.73,1,yes
IA,200,area_code_415,yes,yes,29,92.2,95,15.67,200.0,101,17.0,119.1,99,5.36,5.7,1,1.54,1,yes
WA,143,area_code_415,no,no,0,211.4,94,35.94,184.5,89,15.68,243.2,108,10.94,5.5,5,1.49,1,yes
MA,97,area_code_510,yes,no,0,272.8,60,46.38,216.5,113,18.4,245.1,67,11.03,6.1,8,1.65,5,yes
MA,98,area_code_415,no,no,0,182.6,76,31.04,145.2,75,12.34,162.6,127,7.32,12.0,1,3.24,6,yes
AL,166,area_code_415,yes,no,0,191.3,120,32.52,167.3,88,14.22,162.9,110,7.33,10.2,2,2.75,2,yes
MT,21,area_code_415,no,no,0,254.3,87,43.23,215.5,95,18.32,236.3,98,10.63,11.6,5,3.13,1,yes
MD,137,area_code_510,no,no,0,111.8,106,19.01,281.9,89,23.96,233.0,93,10.49,11.5,4,3.11,4,yes
ID,43,area_code_415,no,no,0,253.6,110,43.11,253.3,92,21.53,161.3,103,7.26,10.2,3,2.75,3,yes
MI,62,area_code_408,no,no,0,119.3,94,20.28,224.0,81,19.04,156.7,78,7.05,12.1,6,3.27,5,yes
MT,84,area_code_415,no,yes,25,113.9,90,19.36,257.0,99,21.85,214.5,98,9.65,12.9,8,3.48,4,yes
KY,78,area_code_415,no,no,0,254.1,112,43.2,215.9,80,18.35,267.1,124,12.02,16.3,3,4.4,0,yes
NY,102,area_code_408,no,yes,48,134.0,83,22.78,234.3,128,19.92,197.3,107,8.88,7.8,4,2.11,6,yes
NY,98,area_code_408,no,no,0,136.9,120,23.27,180.6,84,15.35,172.9,94,7.78,11.9,4,3.21,4,yes
TN,222,area_code_415,no,no,0,256.6,119,43.62,230.8,98,19.62,236.0,97,10.62,12.2,5,3.29,1,yes
AL,91,area_code_415,no,no,0,271.9,106,46.22,231.9,116,19.71,247.0,110,11.12,9.3,3,2.51,1,yes
IA,83,area_code_408,yes,no,0,197.6,105,33.59,177.5,96,15.09,126.8,100,5.71,9.2,1,2.48,3,yes
NJ,172,area_code_510,no,no,0,290.5,123,49.39,253.0,77,21.51,159.3,96,7.17,11.3,5,3.05,2,yes
DE,115,area_code_415,no,no,0,275.5,76,46.84,225.8,82,19.19,327.3,87,14.73,4.8,2,1.3,3,yes
CO,74,area_code_415,yes,no,0,267.5,134,45.48,242.5,110,20.61,223.0,108,10.04,8.3,4,2.24,3,yes
AL,26,area_code_408,no,no,0,290.1,143,49.32,245.7,97,20.88,147.0,80,6.61,7.4,4,2.0,2,yes
CT,25,area_code_510,no,no,0,144.1,111,24.5,224.8,89,19.11,132.9,110,5.98,13.6,3,3.67,4,yes
MS,132,area_code_415,yes,no,0,144.3,70,24.53,231.5,125,19.68,304.3,137,13.69,7.0,2,1.89,1,yes
WY,141,area_code_408,no,no,0,301.4,87,51.24,269.2,111,22.88,148.6,95,6.69,14.4,5,3.89,0,yes
ND,38,area_code_415,yes,no,0,211.6,87,35.97,106.9,68,9.09,239.2,99,10.76,14.1,11,3.81,0,yes
NJ,77,area_code_415,yes,no,0,323.7,106,55.03,139.2,99,11.83,204.4,89,9.2,8.5,3,2.3,6,yes
TX,65,area_code_415,no,no,0,143.6,98,24.41,187.7,96,15.95,200.2,104,9.01,9.3,2,2.51,3,yes
OK,110,area_code_510,no,no,0,281.2,78,47.8,302.3,89,25.7,188.4,92,8.48,8.5,4,2.3,0,yes
WA,62,area_code_415,yes,no,0,180.9,121,30.75,134.3,107,11.42,179.3,74,8.07,8.6,2,2.32,2,yes
MN,30,area_code_408,no,no,0,112.9,81,19.19,224.8,68,19.11,188.4,122,8.48,11.3,7,3.05,4,yes
OR,132,area_code_510,no,no,0,265.8,122,45.19,285.1,90,24.23,183.6,124,8.26,13.6,9,3.67,2,yes
NH,114,area_code_510,yes,yes,28,136.4,93,23.19,170.0,90,14.45,191.5,73,8.62,14.6,4,3.94,2,yes
ME,90,area_code_415,no,no,0,104.0,104,17.68,170.9,106,14.53,158.8,99,7.15,8.7,5,2.35,4,yes
NM,137,area_code_408,yes,no,0,312.4,110,53.11,231.1,73,19.64,120.1,78,5.4,10.6,2,2.86,1,yes
ND,140,area_code_510,no,no,0,244.7,115,41.6,258.6,101,21.98,231.3,112,10.41,7.5,6,2.03,1,yes
AZ,97,area_code_510,no,no,0,252.6,89,42.94,340.3,91,28.93,256.5,67,11.54,8.8,5,2.38,1,yes
